id,location,county,salary_wages_expenditures,employee_benefits_expenditures,total_staff_expenditures,print_materials_expenditures,print_serial_subscription_expenditures,total_print_materials_expenditures,electronic_materials_expenditures,other_materials_expenditures,total_collection_expenditures,all_other_operating_expenditures,total_operating_expenditures,total_capital_expenditures
1,ALHAMBRA CIVIC CENTER LIBRARY,Los Angeles,1757584,601723,2359307,131184,6448,137632,84550,0,222182,651740,3233229,0
2,ALTADENA LIBRARY DISTRICT,Los Angeles,1842901,389328,2232229,177132,19320,196452,107414,38024,341890,1102285,3676404,436998
3,ARCADIA PUBLIC LIBRARY,Los Angeles,1518087,1103694,2621781,154109,13362,167471,83527,43628,294626,664887,3581294,47090
4,AZUSA CITY LIBRARY,Los Angeles,861295,389018,1250313,45500,1000,46500,27000,0,73500,72950,1396763,0
5,BEVERLY HILLS PUBLIC LIBRARY,Los Angeles,3680890,1805093,5485983,170496,32775,203271,327836,33498,564605,5520091,11570679,164951
6,BURBANK PUBLIC LIBRARY,Los Angeles,3733019,1588782,5321801,155526,14601,170127,171822,43738,385687,1190708,6898196,24243
7,CALABASAS CITY LIBRARY,Los Angeles,672008,279433,951441,37720,6944,44664,138823,4850,188337,189905,1329683,783977
8,CERRITOS PUBLIC LIBRARY,Los Angeles,1510485,2044495,3554980,107250,3000,110250,122100,24000,256350,239050,4050380,0
9,CITY OF COMMERCE PUBLIC LIBRARY,Los Angeles,1646747,916106,2562853,23147,4062,27209,38541,0,65750,26750,2655353,51392
10,COVINA PUBLIC LIBRARY,Los Angeles,436640,163063,599703,30996,2539,33535,6000,5098,44633,191563,835899,0
11,CROWELL PUBLIC LIBRARY,Los Angeles,753161,269640,1022801,51231,10638,61869,34851,4000,100720,209010,1332531,0
12,DOWNEY CITY LIBRARY,Los Angeles,621287,315408,936695,66195,0,66195,91115,0,157310,0,1094005,0
13,EL SEGUNDO PUBLIC LIBRARY,Los Angeles,1328039,561119,1889158,93455,7429,100884,42838,1498,145220,263698,2298076,0
14,"GLENDALE LIBRARY, ARTS & CULTURE",Los Angeles,4819508,2354414,7173922,462736,0,462736,430373,54678,947787,2777949,10899658,155852
15,GLENDORA LIBRARY & CULTURAL CENTER,Los Angeles,950389,270188,1220577,52314,11449,63763,85773,7470,157006,616720,1994303,6238
16,INGLEWOOD PUBLIC LIBRARY,Los Angeles,1298461,1100123,2398584,123500,10300,133800,227100,0,360900,256120,3015604,0
17,IRWINDALE PUBLIC LIBRARY,Los Angeles,248429,71823,320252,11835,2778,14613,6953,4079,25645,44596,390493,0
18,LA COUNTY LIBRARY,Los Angeles,66118790,42953561,109072351,5109309,263097,5372406,4505871,1009711,10887988,33491630,153451969,5653872
19,LONG BEACH PUBLIC LIBRARY,Los Angeles,6019955,3289583,9309538,630366,12694,643060,253104,42943,939107,4222725,14471370,53365
20,LOS ANGELES PUBLIC LIBRARY,Los Angeles,77048729,53011021,130059750,2384605,347512,2732117,9236028,1639406,13607551,40964429,184631730,0
21,MONROVIA PUBLIC LIBRARY,Los Angeles,1142445,320251,1462696,86935,1824,88759,31321,5401,125481,762782,2350959,0
22,MONTEREY PARK BRUGGEMEYER LIBRARY,Los Angeles,1118268,799849,1918117,44705,1971,46676,10359,3094,60129,315475,2293721,0
23,PALMDALE CITY LIBRARY,Los Angeles,0,0,0,77480,6174,83654,104944,25042,213640,1190470,1404110,0
24,PALOS VERDES LIBRARY DISTRICT,Los Angeles,4404746,1604764,6009510,146812,30286,177098,269367,20164,466629,1516460,7992599,299041
25,PASADENA PUBLIC LIBRARY,Los Angeles,5196413,4265782,9462195,400335,63359,463694,305548,37703,806946,3085916,13355057,0
26,POMONA PUBLIC LIBRARY,Los Angeles,275395,60830,336225,21190,1998,23188,22554,0,45742,411639,793606,0
27,REDONDO BEACH PUBLIC LIBRARY,Los Angeles,1312091,510025,1822116,119842,6195,126037,178672,34340,339049,2021985,4183150,0
28,SANTA CLARITA PUBLIC LIBRARY,Los Angeles,2627636,895656,3523292,407041,0,407041,554272,49258,1010571,1735563,6269426,2156
29,SANTA FE SPRINGS CITY LIBRARY,Los Angeles,621833,751266,1373099,71643,421,72064,64138,0,136202,204253,1713554,0
30,SANTA MONICA PUBLIC LIBRARY,Los Angeles,4426866,2488205,6915071,294885,35031,329916,363705,50933,744554,966160,8625785,25594
31,SIERRA MADRE PUBLIC LIBRARY,Los Angeles,271623,83734,355357,26905,6876,33781,18661,12969,65411,55012,475780,54181
32,SIGNAL HILL PUBLIC LIBRARY,Los Angeles,226550,90456,317006,19200,0,19200,2005,0,21205,34391,372602,0
33,SOUTH PASADENA PUBLIC LIBRARY,Los Angeles,981932,352228,1334160,57900,6715,64615,53906,13613,132134,117633,1583927,24442
34,TORRANCE PUBLIC LIBRARY,Los Angeles,1624286,2193495,3817781,129573,43101,172674,212439,714,385827,1609062,5812670,0
35,WHITTIER PUBLIC LIBRARY,Los Angeles,1747218,832770,2579988,66314,9752,76066,176963,15212,268241,646684,3494913,2874586