id,location,county,local_government_income,state_income,federal_income,other_operating_income,total_operating_income,capital_outlay_income_from_local_sources,capital_outlay_income_from_state_sources,capital_outlay_income_from_federal_sources,capital_outlay_income_from_other_sources,total_capital_outlay_income
1,ALHAMBRA CIVIC CENTER LIBRARY,Los Angeles,3250145,0,0,10000,3260145,250143,0,0,0,250143
2,ALTADENA LIBRARY DISTRICT,Los Angeles,3748374,54239,0,73438,3876051,0,345835,0,0,345835
3,ARCADIA PUBLIC LIBRARY,Los Angeles,3933600,23967,7956,59391,4024914,47090,0,0,0,47090
4,AZUSA CITY LIBRARY,Los Angeles,1384413,42500,47149,40000,1514062,0,0,0,0,0
5,BEVERLY HILLS PUBLIC LIBRARY,Los Angeles,11530935,25916,0,13828,11570679,421892,0,0,0,421892
6,BURBANK PUBLIC LIBRARY,Los Angeles,7934819,34012,0,44126,8012957,0,0,24243,0,24243
7,CALABASAS CITY LIBRARY,Los Angeles,1582698,0,5000,7983,1595681,1028474,0,0,0,1028474
8,CERRITOS PUBLIC LIBRARY,Los Angeles,4050385,0,13000,0,4063385,250000,0,0,0,250000
9,CITY OF COMMERCE PUBLIC LIBRARY,Los Angeles,2712603,54398,0,0,2767001,0,0,0,0,0
10,COVINA PUBLIC LIBRARY,Los Angeles,890439,71664,28282,32040,1022425,0,0,0,0,0
11,CROWELL PUBLIC LIBRARY,Los Angeles,1326663,0,0,110396,1437059,0,0,0,0,0
12,DOWNEY CITY LIBRARY,Los Angeles,2087386,18933,321687,17062,2445068,0,0,0,0,0
13,EL SEGUNDO PUBLIC LIBRARY,Los Angeles,1783414,27161,0,8848,1819423,0,0,0,0,0
14,"GLENDALE LIBRARY, ARTS & CULTURE",Los Angeles,11125372,97754,20500,437264,11680890,110692,0,0,0,110692
15,GLENDORA LIBRARY & CULTURAL CENTER,Los Angeles,2319966,30638,0,182094,2532698,0,0,0,0,0
16,INGLEWOOD PUBLIC LIBRARY,Los Angeles,4029992,0,24800,0,4054792,0,0,0,0,0
17,IRWINDALE PUBLIC LIBRARY,Los Angeles,406810,8979,0,231,416020,0,0,0,0,0
18,LA COUNTY LIBRARY,Los Angeles,152154585,290521,34521,20589416,173069043,0,0,0,0,0
19,LONG BEACH PUBLIC LIBRARY,Los Angeles,13374919,338437,0,807018,14520374,0,0,0,0,0
20,LOS ANGELES PUBLIC LIBRARY,Los Angeles,188533705,222850,10000,0,188766555,0,0,0,0,0
21,MONROVIA PUBLIC LIBRARY,Los Angeles,2336335,182397,5000,34468,2558200,0,0,0,0,0
22,MONTEREY PARK BRUGGEMEYER LIBRARY,Los Angeles,2070111,38126,178845,0,2287082,0,0,0,0,0
23,PALMDALE CITY LIBRARY,Los Angeles,1336657,0,33978,33475,1404110,0,0,0,0,0
24,PALOS VERDES LIBRARY DISTRICT,Los Angeles,9371717,0,1027,332913,9705657,0,0,0,0,0
25,PASADENA PUBLIC LIBRARY,Los Angeles,15337573,0,280500,101594,15719667,0,0,0,0,0
26,POMONA PUBLIC LIBRARY,Los Angeles,793606,0,0,0,793606,0,0,0,0,0
27,REDONDO BEACH PUBLIC LIBRARY,Los Angeles,4140094,0,0,5165,4145259,0,0,0,0,0
28,SANTA CLARITA PUBLIC LIBRARY,Los Angeles,8399980,4000,12385,238349,8654714,0,0,0,0,0
29,SANTA FE SPRINGS CITY LIBRARY,Los Angeles,1649122,32163,23776,8493,1713554,0,0,0,0,0
30,SANTA MONICA PUBLIC LIBRARY,Los Angeles,8627913,83376,0,23714,8735003,0,0,0,0,0
31,SIERRA MADRE PUBLIC LIBRARY,Los Angeles,352318,4992,11622,52667,421599,37313,0,0,16868,54181
32,SIGNAL HILL PUBLIC LIBRARY,Los Angeles,372602,0,2000,0,374602,0,0,0,0,0
33,SOUTH PASADENA PUBLIC LIBRARY,Los Angeles,1536681,2000,0,18947,1557628,31500,0,0,0,31500
34,TORRANCE PUBLIC LIBRARY,Los Angeles,5768535,10000,4785,29350,5812670,165000,0,0,0,165000
35,WHITTIER PUBLIC LIBRARY,Los Angeles,3494913,0,35000,790897,4320810,5350000,2400000,0,2000000,9750000