id,location,county,total_persons_employed,num_of_ala_mls_librarian_ft_es,num_of_librarian_ft_es,fte_all_other_paid_staff,staff_fte,fte_volunteers
1,ALHAMBRA CIVIC CENTER LIBRARY,Los Angeles,37,12,12,20,32,3
2,ALTADENA LIBRARY DISTRICT,Los Angeles,29,9,9,17,26,2
3,ARCADIA PUBLIC LIBRARY,Los Angeles,36,10.5,10.5,16.63,27.13,0.6
4,AZUSA CITY LIBRARY,Los Angeles,24,3,3,12.5,15.5,2
5,BEVERLY HILLS PUBLIC LIBRARY,Los Angeles,98,12.04,12.04,35.05,47.09,0.04
6,BURBANK PUBLIC LIBRARY,Los Angeles,91,24.57,24.57,39.7,64.27,0.53
7,CALABASAS CITY LIBRARY,Los Angeles,23,5,5,10,15,0
8,CERRITOS PUBLIC LIBRARY,Los Angeles,73,0,7,39,46,0
9,CITY OF COMMERCE PUBLIC LIBRARY,Los Angeles,66,6,9,32.5,41.5,0
10,COVINA PUBLIC LIBRARY,Los Angeles,23,1,2,9.27,11.27,0.06
11,CROWELL PUBLIC LIBRARY,Los Angeles,34,5,5,13.69,18.69,0.42
12,DOWNEY CITY LIBRARY,Los Angeles,30,2,3,16,19,5
13,EL SEGUNDO PUBLIC LIBRARY,Los Angeles,25,5,5,12.6,17.6,0.5
14,"GLENDALE LIBRARY, ARTS & CULTURE",Los Angeles,130,24.79,27.79,44.36,72.15,0.79
15,GLENDORA LIBRARY & CULTURAL CENTER,Los Angeles,31,7.11,7.11,13.15,20.26,0.57
16,INGLEWOOD PUBLIC LIBRARY,Los Angeles,29,9,9,10,19,0
17,IRWINDALE PUBLIC LIBRARY,Los Angeles,14,1,1,6,7,0
18,LA COUNTY LIBRARY,Los Angeles,1367,266,267,840,1107,0.08
19,LONG BEACH PUBLIC LIBRARY,Los Angeles,163,39.6,39.6,93.12,132.72,0.03
20,LOS ANGELES PUBLIC LIBRARY,Los Angeles,1146,380.5,380.5,597.5,978,14.7
21,MONROVIA PUBLIC LIBRARY,Los Angeles,28,6.85,8.5,7.75,16.25,0.86
22,MONTEREY PARK BRUGGEMEYER LIBRARY,Los Angeles,18,6,7,11,18,0.44
23,PALMDALE CITY LIBRARY,Los Angeles,16,3,3,9.25,12.25,0.03
24,PALOS VERDES LIBRARY DISTRICT,Los Angeles,75,15,15,27,42,1.6
25,PASADENA PUBLIC LIBRARY,Los Angeles,113,26.5,26.5,75.45,101.95,0.4
26,POMONA PUBLIC LIBRARY,Los Angeles,20,2.25,2.25,7.5,9.75,0
27,REDONDO BEACH PUBLIC LIBRARY,Los Angeles,45,4.5,4.5,10.5,15,0
28,SANTA CLARITA PUBLIC LIBRARY,Los Angeles,84,22,22,36,58,0.32
29,SANTA FE SPRINGS CITY LIBRARY,Los Angeles,15,4,4,7.5,11.5,0
30,SANTA MONICA PUBLIC LIBRARY,Los Angeles,70,21,21,26.8,47.8,0
31,SIERRA MADRE PUBLIC LIBRARY,Los Angeles,12,3.45,3.45,4.77,8.22,0.72
32,SIGNAL HILL PUBLIC LIBRARY,Los Angeles,12,1,1,1,2,4
33,SOUTH PASADENA PUBLIC LIBRARY,Los Angeles,33,5,7.68,10.2,17.88,2.5
34,TORRANCE PUBLIC LIBRARY,Los Angeles,89,18,18,44.5,62.5,0
35,WHITTIER PUBLIC LIBRARY,Los Angeles,74,11.5,11.5,16.64,28.14,0